CSR,,COO,,CSC,,,CSR FLOAT,,COO FLOAT,,CSC FLOAT
0.579280435,,0.579280435,,0.579280435,,,0.5792804,,0.5792804,,0.5792804
0.149653855,,0.149653855,,0.149653855,,,0.14965384,,0.14965384,,0.14965384
0.048276915,,0.048276915,,0.048276915,,,0.048276912,,0.048276912,,0.048276912
0.024206533,,0.024206533,,0.024206533,,,0.024206534,,0.024206534,,0.024206534
0.013925897,,0.013925897,,0.013925897,,,0.013925896,,0.013925896,,0.013925896
0.008717309,,0.008717309,,0.008717309,,,0.008717308,,0.008717307,,0.008717308
0.005723177,,0.005723177,,0.005723177,,,0.005723175,,0.005723174,,0.005723175
0.003886204,,0.003886204,,0.003886204,,,0.003886228,,0.003886204,,0.003886228
0.00270827,,0.00270827,,0.00270827,,,0.002708292,,0.002708269,,0.002708292
1.92539E+16,,0.001925389,,0.001925389,,,0.001925411,,0.001925419,,0.001925411
0.001390301,,0.001390301,,0.001390301,,,0.00139029,,0.001390293,,0.00139029
0.001017887,,0.001017887,,0.001017887,,,0.001017878,,0.001017881,,0.001017878
7.52E-04,,7.52E-04,,7.52E-04,,,7.52E-04,,7.52E-04,,7.52E-04
5.59E-04,,5.59E-04,,5.59E-04,,,5.59E-04,,5.59E-04,,5.59E-04
4.18E-04,,4.18E-04,,4.18E-04,,,4.18E-04,,4.18E-04,,4.18E-04
3.15E-04,,3.15E-04,,3.15E-04,,,3.15E-04,,3.15E-04,,3.15E-04
2.38E-04,,2.38E-04,,2.38E-04,,,2.38E-04,,2.38E-04,,2.38E-04
1.81E-04,,1.81E-04,,1.81E-04,,,1.81E-04,,1.81E-04,,1.81E-04
1.38E-04,,1.38E-04,,1.38E-04,,,1.38E-04,,1.38E-04,,1.38E-04
1.06E-05,,1.06E-04,,1.06E-04,,,1.06E-04,,1.06E-04,,1.06E-04
8.2088959969E-05,,8.2088959969E-05,,8.21E-05,,,8.21E-05,,8.21E-05,,8.21E-05
6.40E-05,,6.40E-05,,6.40E-05,,,6.40E-05,,6.40E-05,,6.40E-05
5.02E-05,,5.02E-05,,5.02E-05,,,5.02E-05,,5.02E-05,,5.02E-05
3.98E-05,,3.98E-05,,3.98E-05,,,3.98E-05,,3.98E-05,,3.98E-05
3.18E-05,,3.18E-05,,3.18E-05,,,3.18E-05,,3.18E-05,,3.18E-05
2.57E-05,,2.57E-05,,2.57E-05,,,2.57E-05,,2.57E-05,,2.57E-05
2.09E-05,,2.09E-05,,2.09E-05,,,2.09E-05,,2.09E-05,,2.09E-05
1.71E-05,,1.71E-05,,1.71E-05,,,1.71E-05,,1.71E-05,,1.71E-05
1.41E-05,,1.41E-05,,1.41E-05,,,1.41E-05,,1.41E-05,,1.41E-05
1.17E-05,,1.17E-05,,1.17E-05,,,1.17E-05,,1.17E-05,,1.17E-05
9.70E-06,,9.70E-06,,9.70E-06,,,9.70E-06,,9.70E-06,,9.70E-06
8.10E-06,,8.10E-06,,8.10E-06,,,8.10E-06,,8.10E-06,,8.10E-06
6.78E-06,,6.78E-06,,6.78E-06,,,6.78E-06,,6.78E-06,,6.78E-06
5.68E-06,,5.68E-06,,5.68E-06,,,5.68E-06,,5.68E-06,,5.68E-06
4.77E-06,,4.77E-06,,4.77E-06,,,4.77E-06,,4.77E-06,,4.77E-06
4.00E-06,,4.00E-06,,4.00E-06,,,4.00E-06,,4.00E-06,,4.00E-06
3.36E-06,,3.36E-06,,3.36E-06,,,3.36E-06,,3.37E-06,,3.36E-06
2.83E-06,,2.83E-06,,2.83E-06,,,2.83E-06,,2.83E-06,,2.83E-06
2.38E-06,,2.38E-06,,2.38E-06,,,2.38E-06,,2.38E-06,,2.38E-06
2.00E-06,,2.00E-06,,2.00E-06,,,2.00E-06,,2.00E-06,,2.00E-06
1.68E-06,,1.68E-06,,1.68E-06,,,1.68E-06,,1.68E-06,,1.68E-06
1.41E-06,,1.41E-06,,1.41E-06,,,1.41E-06,,1.41E-06,,1.41E-06
1.19E-06,,1.19E-06,,1.19E-06,,,1.19E-06,,1.19E-06,,1.19E-06
1.00E-06,,1.00E-06,,1.00E-06,,,1.00E-06,,1.00E-06,,1.00E-06
8.42E-07,,8.42E-07,,8.42E-07,,,8.43E-07,,8.43E-07,,8.43E-07
7.09E-07,,7.09E-07,,7.09E-07,,,7.09E-07,,7.08E-07,,7.09E-07
5.97E-07,,5.97E-07,,5.97E-07,,,5.97E-07,,6.02E-07,,5.97E-07
5.03E-07,,5.03E-07,,5.03E-07,,,5.10E-07,,5.08E-07,,5.10E-07
4.23E-07,,4.23E-07,,4.23E-07,,,4.27E-07,,4.27E-07,,4.27E-07
3.57E-07,,3.57E-07,,3.57E-07,,,3.56E-07,,3.62E-07,,3.56E-07
3.00E-07,,3.00E-07,,3.00E-07,,,3.01E-07,,3.01E-07,,3.01E-07
2.53E-07,,2.53E-07,,2.53E-07,,,2.54E-07,,2.54E-07,,2.54E-07
2.13E-07,,2.13E-07,,2.13E-07,,,2.13E-07,,2.13E-07,,2.13E-07
1.80E-07,,1.80E-07,,1.80E-07,,,1.93E-07,,1.79E-07,,1.93E-07
1.51E-07,,1.51E-07,,1.51E-07,,,1.65E-07,,1.67E-07,,1.65E-07
1.28E-07,,1.28E-07,,1.28E-07,,,1.34E-07,,1.45E-07,,1.34E-07
1.08E-07,,1.08E-07,,1.08E-07,,,1.23E-07,,1.16E-07,,1.23E-07
9.07E-08,,9.07E-08,,9.07E-08,,,9.39E-08,,1.09E-07,,9.39E-08
,,,,,,,,,8.13E-08,,
